origin_data_source_category_id,target_data_source_category_id,origin_data_source_category_size,target_data_source_category_size,size_change
1036093,1012000701,4648548,0,0
1043387,1012153221,2301936,0,0
1043388,1012153201,2355384,0,0
1043391,1012153191,4270128,0,0
1043392,1012153171,5096124,0,0
1043393,1012153231,4706892,0,0
1043394,1012153211,2488392,0,0
1043395,1008436571,2470644,0,0
1043396,1012153141,4855200,0,0
1043397,1012153151,4937412,0,0
1043399,1012153131,4336836,0,0
1043401,1012153181,5764020,0,0
1049621,1012303461,4238304,0,0
1049622,1012303451,4641816,0,0
1049623,1012303391,4500036,0,0
1049624,1012303431,6054924,0,0
1049625,1012303311,4328268,0,0
1049626,1012303331,3958416,0,0
1049627,1012303411,3946176,0,0
1049628,1012303371,3822756,0,0
1049629,1012303351,4050828,0,0
1049630,1012303441,3922920,0,0
1049631,1012303321,4081224,0,0
1049632,1012303341,2518380,0,0
1049633,1012303421,2213196,0,0
1049634,1012303381,3611616,0,0
1049635,1012303361,3989220,0,0
1049671,1012303401,2514708,0,0
1049672,1012303271,2463912,0,0
1049673,1012303161,2443920,0,0
1049674,1012303171,2525316,0,0
1049676,1012303231,2493288,0,0
1049677,1012303191,2278884,0,0
1049678,1012303211,2639148,0,0
1049679,1012303291,2529192,0,0
1049680,1012303181,2498388,0,0
1049681,1012303261,2464728,0,0
1049682,1012303241,2401896,0,0
1049683,1012303201,2380272,0,0
1049684,1012303221,2565912,0,0
1049685,1012303301,2603244,0,0
1049686,1012303251,2261952,0,0
1049687,1012303281,2355180,0,0
1049688,1012303011,2448204,0,0
1049689,1012303031,2375172,0,0
1050007,1012303041,3627732,0,0
1050008,1012303121,4070820,0,0
1050009,1012303081,3780528,0,0
1050010,1012303101,4225656,0,0
1050011,1012303141,3999624,0,0
1050012,1012303021,4115700,0,0
1050013,1012303051,3660780,0,0
1050014,1012303131,4226880,0,0
1050015,1012303091,4364376,0,0
1050016,1012303061,4270536,0,0
1050017,1012303071,4279512,0,0
1050018,1012303151,2461872,0,0
1050019,1012303111,2400876,0,0
1050549,1012406381,10795680,0,0
1050739,1012406441,12714708,0,0
1050744,1012406391,14252460,0,0
1050749,1012406411,15378132,0,0
1050754,1012406361,13103328,0,0
1050761,1012406421,13936464,0,0
1050766,1012406451,15114360,0,0
1050771,1012406401,15790620,0,0
1050776,1012406431,13551312,0,0
1050781,1012406371,15507672,0,0
1053595,1012445311,9663480,0,0
1053596,1012445261,5365404,0,0
1053597,1012445291,10512324,0,0
1053598,1012445201,10321176,0,0
1053599,1012445241,9774456,0,0
1053601,1012444021,10747332,0,0
1053602,1012444031,11053128,0,0
1053603,1012444061,6648156,0,0
1053604,1012444001,3822348,0,0
1053605,1012444091,10938072,0,0
1053606,1012443981,10094532,0,0
1053607,1012444111,5277480,0,0
1053608,1012444041,8665512,0,0
1053609,1012444071,9559644,0,0
1053610,1012444011,11107800,0,0
1053611,1012444101,10575972,0,0
1053612,1012443991,9768540,0,0
1053613,1012444121,9545160,0,0
1053614,1012444051,12215316,0,0
1053615,1012444081,9949488,0,0
1053616,1012443861,10832196,0,0
1053617,1012443881,10067400,0,0
1053618,1012443921,10298532,0,0
1053620,1012443901,3465552,0,0
1053621,1012443241,9846060,0,0
1053621,1012443951,9846060,0,0
1053622,1012443871,10392168,0,0
1053623,1012443891,10348512,0,0
1053624,1012443931,9931740,0,0
1053625,1012443841,9749568,0,0
1053626,1012443961,11155740,0,0
1053627,1012443831,11376672,0,0
1053628,1012443971,5891520,0,0
1053629,1012443911,9609828,0,0
1053630,1012443941,9644916,0,0
1053631,1012443851,10018644,0,0
1053632,1012443801,9546588,0,0
1053633,1012443681,9827904,0,0
1053634,1012443811,10763448,0,0
1053635,1012443741,5705880,0,0
1053636,1012443781,9801384,0,0
1053637,1012443701,10770180,0,0
1053638,1012443721,10313832,0,0
1053639,1012443761,9918684,0,0
1053640,1012443821,9685104,0,0
1053641,1012443751,9785064,0,0
1053642,1012443791,10431948,0,0
1053643,1012443711,11086584,0,0
1053644,1012443731,9895836,0,0
1053645,1012443181,10911348,0,0
1053645,1012443771,10911348,0,0
1053646,1012443691,10138392,0,0
1053647,1012443631,10742844,0,0
1053648,1012443531,10456020,0,0
1053649,1012443651,10035780,0,0
1053650,1012443581,10470300,0,0
1053651,1012443611,6091236,0,0
1053652,1012443561,10356672,0,0
1053653,1012443641,10323012,0,0
1053654,1012443541,3439032,0,0
1053655,1012443661,10526604,0,0
1053656,1012443601,8414388,0,0
1053657,1012443621,3749928,0,0
1053658,1012443571,9632064,0,0
1053659,1012443591,10730196,0,0
1053660,1012443551,7364808,0,0
1053661,1012443671,9871968,0,0
1053662,1012448181,4763400,0,0
1053663,1012448201,6223224,0,0
1053664,1012448141,10957452,0,0
1053665,1012448161,10341984,0,0
1053666,1012448191,4876212,0,0
1053667,1012448131,10158588,0,0
1053668,1012448211,6103884,0,0
1053669,1012448121,10075152,0,0
1053670,1012448151,10906656,0,0
1053671,1012448171,10657776,0,0
1053672,1012448041,10530684,0,0
1053673,1012447991,8111040,0,0
1053674,1012448081,10665936,0,0
1053675,1012447971,11623104,0,0
1053676,1012447561,10900332,0,0
1053676,1012448101,10900332,0,0
1053678,1012448061,5662836,0,0
1053679,1012448001,10414812,0,0
1053680,1012448091,10151244,0,0
1053681,1012447981,10634112,0,0
1053682,1012448111,9682248,0,0
1053683,1012448031,9936636,0,0
1053684,1012448071,10703676,0,0
1053685,1012448011,2347428,0,0
1053686,1012448021,8975184,0,0
1053687,1012448051,10095348,0,0
1053688,1012447831,11256312,0,0
1053689,1012447931,10163280,0,0
1053690,1012447911,10620444,0,0
1053691,1012447851,5346024,0,0
1053692,1012447871,10691232,0,0
1053693,1012447901,9572088,0,0
1053694,1012447841,5488824,0,0
1053695,1012447941,4910484,0,0
1053696,1012447821,11054556,0,0
1053697,1012447951,9665316,0,0
1053698,1012447881,11479488,0,0
1053699,1012447921,10388496,0,0
1053700,1012447961,10005180,0,0
1053701,1012447891,9838716,0,0
1053703,1012447861,11072304,0,0
1053704,1012447751,4285632,0,0
1053705,1012447771,11287320,0,0
1053707,1012447791,10234680,0,0
1053708,1012447671,10882584,0,0
1053709,1012447811,11675532,0,0
1053710,1012447761,3604680,0,0
1053711,1012447781,10580664,0,0
1053712,1012447741,10739580,0,0
1053713,1012447801,11345256,0,0
1053714,1012447681,10144308,0,0
1056458,1012644261,884748,0,0
1056463,1012644241,876996,0,0
1056468,1012644251,920244,0,0
1056473,1012644181,901680,0,0
1056478,1012644111,1015920,0,0
1056483,1012644151,962676,0,0
1057069,1012644161,1019184,0,0
1057074,1012644201,1076100,0,0
1057079,1012644221,996744,0,0
1057084,1012644121,1064880,0,0
1057089,1012644211,828240,0,0
1057094,1012644191,1013676,0,0
1057099,1012644131,959004,0,0
1057104,1012644091,1099764,0,0
1057109,1012644141,893316,0,0
1057114,1012644171,1055292,0,0
1057119,1012644101,1168716,0,0
1057124,1012644231,961044,0,0
1057139,1012648101,3903948,0,0
1057140,1012648121,5411916,0,0
1057141,1012648161,1951872,0,0
1057142,1012648111,2063664,0,0
1057143,1012648171,2116704,0,0
1057144,1012648141,2176680,0,0
1057147,1012648091,2148936,0,0
1057148,1012648151,2087328,0,0
1057149,1012648131,2882316,0,0
1057254,1012643941,1018164,0,0
1057259,1012643981,1194828,0,0
1057264,1012644011,1250316,0,0
1057269,1012643951,1105068,0,0
1057274,1012644071,1091400,0,0
1057279,1012644021,1234200,0,0
1057284,1012644041,810900,0,0
1057289,1012644081,809268,0,0
1057294,1012643971,1162188,0,0
1057299,1012644051,1009800,0,0
1057304,1012643991,918816,0,0
1057309,1012644061,918408,0,0
1057314,1012643961,870876,0,0
1057319,1012644001,937788,0,0
1057324,1012644031,1205028,0,0
1057811,1012681811,1011228,0,0
1057816,1012681801,1263576,0,0
1057821,1012681741,1291728,0,0
1057826,1012681821,1363536,0,0
1057831,1012681771,991440,0,0
1057836,1012681751,809064,0,0
1057841,1012681831,900048,0,0
1057846,1012681781,924732,0,0
1057852,1012681791,823752,0,0
1057857,1012681761,1227264,0,0
1058177,1012681701,1141992,0,0
1058182,1012681671,894948,0,0
1058187,1012681621,969816,0,0
1058192,1012681721,1204008,0,0
1058198,1012681711,1478388,0,0
1058203,1012681651,1281732,0,0
1058208,1012681611,1150968,0,0
1058213,1012681591,1164024,0,0
1058218,1012681661,1219920,0,0
1058223,1012681641,993480,0,0
1058228,1012681601,921672,0,0
1058233,1012681691,990828,0,0
1058856,1012681631,1059372,0,0
1058861,1012681731,955332,0,0
1058866,1012681681,822324,0,0
1058871,1012681491,1308048,0,0
1058876,1012681571,937992,0,0
1058881,1012681531,1255416,0,0
1058886,1012681501,974916,0,0
1058891,1012681481,941256,0,0
1058896,1012681541,1014900,0,0
1058901,1012681511,1255212,0,0
1058906,1012681561,1158924,0,0
1058911,1012681551,832116,0,0
1058916,1012681521,901884,0,0
1058921,1012681461,972672,0,0
1059116,1012681471,1103844,0,0
1059121,1012681391,1443504,0,0
1059126,1012681351,980016,0,0
1059131,1012681331,885564,0,0
1059136,1012681401,988992,0,0
1059141,1012681371,1035504,0,0
1059146,1012681341,1114248,0,0
1059151,1012681421,924120,0,0
1059156,1012681381,1156476,0,0
1059161,1012681441,1242360,0,0
1059166,1012681431,1271736,0,0
1059171,1012681361,1145052,0,0
1059176,1012681451,1333140,0,0
1059181,1012681411,1223388,0,0
1059960,1012737041,2109564,0,0
1059961,1012736981,1989816,0,0
1059962,1012737031,2152608,0,0
1059963,1012736971,2137104,0,0
1059964,1012737011,2129760,0,0
1059965,1012736951,2175660,0,0
1059966,1012736991,2080596,0,0
1059967,1012736941,2096100,0,0
1059968,1012737071,1976964,0,0
1059969,1012737051,2098140,0,0
1059970,1012737021,2149344,0,0
1059971,1012736961,2144244,0,0
1059972,1012737001,2159340,0,0
1060017,1012737061,2175252,0,0
1061980,1012839801,1906788,0,0
1061981,1012839771,1802748,0,0
1061982,1012839811,1479204,0,0
1061983,1012839831,1788876,0,0
1061984,1012839781,1720536,0,0
1061985,1012839791,1885164,0,0
1061986,1012839841,1829064,0,0
1062289,1012839851,1829676,0,0
1062290,1012858301,1696464,0,0
1062291,1012839821,1778268,0,0
